epoch,train_loss,val_auc,val_f1,val_acc,val_score,lr
1,0.16464053476984436,0.6788472612716371,0.5363639495624613,0.7269180754226268,0.6361022677588843,0.0003
2,0.15112884617872066,0.6650350597879476,0.5126241863651936,0.7113133940182055,0.6193117977611214,0.0003
3,0.1426830105483532,0.6573456183733614,0.6082727302979339,0.741222366710013,0.6426237519507331,0.0003
4,0.1293811696740958,0.639333017174215,0.581229578815612,0.6514954486345904,0.621901985666634,0.0003
5,0.11840510925462654,0.6112005013380305,0.5611605282704397,0.6723016905071522,0.5961885094177533,0.0003
6,0.10419172820475725,0.5359574540157854,0.5506077606358111,0.635890767230169,0.540352546001793,0.0003
7,0.08518134607925071,0.5838979031875614,0.5571114205649251,0.6514954486345904,0.5758619584007705,0.0003
8,0.07414632399675546,0.5499729006469971,0.5391192698902233,0.6345903771131339,0.546716811419965,0.0003
9,0.07256527256791119,0.5993445343992413,0.5401456045720157,0.6124837451235371,0.5815848554510736,0.00015
10,0.04007850620090156,0.5837454693269197,0.5421078520206073,0.6710013003901171,0.5712541841350259,0.00015
11,0.03527947697108863,0.5723891467091224,0.5648413121857366,0.6814044213263979,0.5701247963521067,0.00015
12,0.021238894073863153,0.5728718539344873,0.5385456468785651,0.6710013003901171,0.5625739918177106,0.00015
13,0.024843047799852986,0.5893431794315911,0.5535159621790953,0.657997399219766,0.5785950142558423,0.00015
14,0.023198868563348376,0.569484434809119,0.5544047758170698,0.6905071521456437,0.5649605371115042,0.00015
15,0.025200209561483684,0.5418515632939264,0.5288980819006929,0.647594278283485,0.5379655188759563,7.5e-05
16,0.020383637002040003,0.5864130618881473,0.5683084126790718,0.6644993498049415,0.5809816671254247,7.5e-05
17,0.01422779848442522,0.5949578266318891,0.5654528915596229,0.6801040312093628,0.5861063461102092,7.5e-05
18,0.013494733162014536,0.6037820534534739,0.5699076846143217,0.6684005201560468,0.5936197428017282,7.5e-05
19,0.015921235219827173,0.5671894583516819,0.5763085399449036,0.694408322496749,0.5699251828296483,7.5e-05
20,0.009990427643585077,0.5614054401951154,0.5469157804526509,0.6853055916775033,0.557058542272376,7.5e-05
21,0.011196259690788449,0.5844144846041801,0.565179486601863,0.6736020806241872,0.5786439852034849,3.75e-05
22,0.012182699805487425,0.5863791876968938,0.5412681648379589,0.682704811443433,0.5728458808392133,3.75e-05
23,0.010041159945922938,0.5942634057111886,0.5558933455373585,0.6553966189856957,0.5827523876590395,3.75e-05
