epoch,train_loss,val_auc,val_f1,val_acc,val_score,lr
1,0.1695609989466968,0.5536482503980217,0.4200603318250377,0.7243172951885566,0.5135718748261264,0.0003
2,0.15633260170081714,0.5409877714169574,0.5590022190762991,0.7308192457737321,0.5463921057147598,0.0003
3,0.14762628951051213,0.576386301277057,0.534111874117631,0.7126137841352406,0.5637039731292293,0.0003
4,0.1379997792007687,0.5927983469394669,0.5883236183005198,0.6736020806241872,0.5914559283477827,0.0003
5,0.12934319077579826,0.5463737678262931,0.5121182717734368,0.6905071521456437,0.5360971190104362,0.0003
6,0.1144883351752887,0.44669049151451506,0.48608958375452077,0.6905071521456437,0.45851021918651674,0.0003
7,0.10110783365529936,0.42818671454219026,0.47475709475709477,0.6306892067620286,0.44215782860666164,0.0003
8,0.09067642426974065,0.5552996172216389,0.5328421386486454,0.6762028608582574,0.5485623736497408,0.0003
9,0.07673443879026014,0.6413570001016226,0.6020775409329626,0.6514954486345904,0.6295731623510246,0.0003
10,0.07275522221718822,0.5120846177297517,0.5152170539628351,0.6618985695708712,0.5130243485996767,0.0003
11,0.06887613738643693,0.5897412011788219,0.5417627356286026,0.6020806241872562,0.575347661513756,0.0003
12,0.06342510133981705,0.5772246875105858,0.5710864383589711,0.6814044213263979,0.5753832127651013,0.0003
13,0.05125372657166408,0.5471105314860608,0.5275638925294889,0.6098829648894668,0.5412465397990892,0.0003
14,0.04834509916972738,0.49753565258629456,0.5186311263972485,0.6449934980494149,0.5038642947295807,0.0003
15,0.039699327112553084,0.5903170624301345,0.5679775280898877,0.6332899869960988,0.5836152021280604,0.00015
16,0.03548600374477672,0.6302039226313473,0.608895434201914,0.7009102730819246,0.6238113761025172,0.00015
17,0.020508491193984745,0.6145455777243318,0.5766488124923088,0.6684005201560468,0.6031765481547249,0.00015
18,0.024557840298265556,0.6411876291453541,0.5988961669092674,0.6644993498049415,0.628500190474528,0.00015
19,0.021133577874819707,0.5966769418380137,0.5619670380716368,0.647594278283485,0.5862639707081005,0.00015
20,0.017664077885759372,0.5759544053385725,0.5186612065401414,0.647594278283485,0.5587664456990431,0.00015
21,0.014684157749126153,0.6104976118695167,0.5761083549885817,0.6449934980494149,0.6001808348052362,7.5e-05
22,0.013350977541392183,0.6233952101893567,0.5732809576761702,0.6710013003901171,0.6083609344354007,7.5e-05
23,0.012366564945959663,0.5894871447444192,0.5524366690234355,0.6488946684005201,0.5783720020281241,7.5e-05
24,0.010314989746925799,0.6136140374648555,0.592634996582365,0.6775032509752926,0.6073203252001084,7.5e-05
25,0.008703184695306091,0.5812726533654009,0.5378111977775404,0.6488946684005201,0.5682342166890427,7.5e-05
26,0.009221471313320033,0.64078113885031,0.5930157903869513,0.682704811443433,0.6264515343113023,7.5e-05
27,0.023433452610268368,0.6250635141086007,0.5901473229854124,0.6840052015604682,0.6145886567716442,3.75e-05
28,0.018180179481786834,0.6278920090782832,0.5694075286879727,0.6918075422626788,0.61034666496119,3.75e-05
29,0.008928373677295272,0.6317960096202704,0.5869845826112073,0.6905071521456437,0.6183525815175515,3.75e-05
